season,judge_placement_corr,voting_rule
1,-0.6061406447689669,rank
2,-0.7245896937313705,rank
3,-0.7854351628279784,percent
4,-0.7725386681532886,percent
5,-0.8523935814263092,percent
6,-0.9412529943521734,percent
7,-0.8690898573265771,percent
8,-0.8368821952931776,percent
9,-0.8655408760348202,percent
10,-0.8763856940650022,percent
11,-0.9074601393962364,percent
12,-0.9435313789101113,percent
13,-0.8389976020027741,percent
14,-0.879362330693971,percent
15,-0.8938444986575241,percent
16,-0.932160020294845,percent
17,-0.8443858237744322,percent
18,-0.8562193713086661,percent
19,-0.8497219760192294,percent
20,-0.8573027190456909,percent
21,-0.9073898324157296,percent
22,-0.8921401907997694,percent
23,-0.9773568596077552,percent
24,-0.8363227084676098,percent
25,-0.9576629459082959,percent
26,-0.9213062975997892,percent
27,-0.6329416789340785,percent
28,-0.856193029787834,rank
29,-0.9063692999680253,rank
30,-0.8401015576853607,rank
31,-0.9202942846900691,rank
32,-0.9645935714771917,rank
33,-0.8699172137029005,rank
34,-0.9180897875034055,rank
